co2,year
187.007,1979
176.632,1980
164.11,1981
133.487,1982
137.357,1983
144.073,1984
146.98,1985
144.014,1986
151.48,1987
145.603,1988
161.664,1989
161.807,1990
170.227,1991
170.015,1992
170.206,1993
170.788,1994
172.3,1995
181.453,1996
174.494,1997
175.463,1998
169.937,1999
171.085,2000
176.211,2001
175.571,2002
179.009,2003
180.896,2004
176.922,2005
172.098,2006
171.881,2007
174.862,2008
169.539,2009
181.538,2010
168.271,2011
164.7,2012
164.685,2013
157.663,2014
164.2,2015
164.925,2016
162.61,2017
159.02,2018
153.6,2019
138.1,2020
2.528,1975
2.388,1976
2.139,1977
1.541,1978
1.64,1979
1.999,1980
1.39,1981
1.262,1982
1.151,1983
1.202,1984
1.451,1985
1.401,1986
1.454,1987
1.501,1988
1.64,1989
1.576,1990
1.759,1991
1.575,1992
1.828,1993
1.971,1994
2.063,1995
2.184,1996
1.817,1997
1.81,1998
2.056,1999
2.22,2000
1.877,2001
2.392,2002
2.726,2003
2.515,2004
2.81,2005
2.707,2006
2.927,2007
2.848,2008
2.933,2009
3.557,2010
3.54,2011
3.638,2012
3.849,2013
4.873,2014
4.736,2015
5.315,2016
5.345,2017
5.785,2018
8.706,2019
8.693,2020
18.27,1975
19.249,1976
20.313,1977
18.024,1978
16.494,1979
17.479,1980
16.561,1981
18.27,1982
17.998,1983
19.337,1984
21.858,1985
22.946,1986
24.165,1987
25.449,1988
25.453,1989
25.649,1990
26.333,1991
28.275,1992
27.863,1993
28.028,1994
28.149,1995
29.377,1996
31.326,1997
29.931,1998
31.538,1999
32.339,2000
34.49,2001
34.66,2002
36.301,2003
35.953,2004
37.553,2005
37.543,2006
36.657,2007
37.713,2008
34.882,2009
35.031,2010
34.497,2011
36.138,2012
35.305,2013
35.531,2014
36.071,2015
34.305,2016
35.855,2017
35.789,2018
37.495,2019
33.475,2020
1.927,1975
2.222,1976
2.833,1977
2.627,1978
1.709,1979
2.022,1980
2.135,1981
2.111,1982
1.997,1983
1.846,1984
1.985,1985
2.256,1986
2.431,1987
2.24,1988
1.468,1989
2.044,1990
1.986,1991
2.373,1992
2.282,1993
2.518,1994
2.755,1995
2.847,1996
3.114,1997
3.393,1998
3.597,1999
3.721,2000
3.922,2001
3.99,2002
4.335,2003
4.378,2004
4.27,2005
4.418,2006
4.551,2007
4.366,2008
4.445,2009
4.468,2010
4.806,2011
4.546,2012
4.616,2013
4.756,2014
5.43,2015
5.383,2016
5.504,2017
5.281,2018
5.673,2019
5.074,2020
0.333,1975
0.333,1976
0.366,1977
0.417,1978
0.479,1979
0.57,1980
0.684,1981
0.746,1982
0.962,1983
0.991,1984
0.994,1985
0.899,1986
0.998,1987
0.987,1988
1.038,1989
0.602,1990
0.569,1991
0.528,1992
0.602,1993
0.58,1994
0.562,1995
0.642,1996
0.646,1997
0.697,1998
0.683,1999
0.694,2000
0.653,2001
0.696,2002
0.754,2003
0.809,2004
0.709,2005
0.688,2006
0.716,2007
0.802,2008
0.961,2009
1.17,2010
1.322,2011
1.754,2012
1.891,2013
2.075,2014
2.035,2015
2.064,2016
2.006,2017
1.863,2018
1.853,2019
1.69,2020
47.352,1975
55.19,1976
50.505,1977
48.223,1978
70.186,1979
68.035,1980
65.811,1981
65.394,1982
59.705,1983
69.406,1984
69.636,1985
73.192,1986
59.024,1987
70.421,1988
42.119,1989
38.857,1990
41.929,1991
46.265,1992
44.814,1993
34.935,1994
33.417,1995
36.789,1996
41.009,1997
37.746,1998
39.587,1999
78.823,2000
86.719,2001
94.304,2002
100.008,2003
98.685,2004
105.758,2005
97.809,2006
94.27,2007
94.772,2008
74.885,2009
112.314,2010
129.569,2011
116.331,2012
122.098,2013
127.823,2014
113.47,2015
115.821,2016
114.043,2017
127.928,2018
130.104,2019
125.463,2020
0.004,1975
0.004,1976
0.004,1977
0.004,1978
0.004,1979
0.004,1980
0.004,1981
0.004,1982
0.004,1983
0.004,1984
0.004,1985
0.004,1986
0.004,1987
0.004,1988
0.004,1989
0.007,1990
0.007,1991
0.007,1992
0.007,1993
0.007,1994
0.007,1995
0.007,1996
0.007,1997
0.007,1998
0.007,1999
0.007,2000
0.007,2001
0.007,2002
0.004,2003
0.004,2004
0.004,2005
0.004,2006
0.004,2007
0.007,2008
0.004,2009
0.004,2010
0.007,2011
0.007,2012
0.007,2013
0.011,2014
0.007,2015
0.007,2016
0.007,2017
0.011,2018
0.011,2019
0.011,2020
5127.969,1975
5434.561,1976
5591.029,1977
5676.991,1978
5792.359,1979
5621.038,1980
5495.519,1981
5263.63,1982
5203.537,1983
5461.844,1984
5465.18,1985
5450.086,1986
5656.467,1987
5906.086,1988
6018.1,1989
5984.512,1990
5932.717,1991
6057.23,1992
6163.883,1993
6288.26,1994
6350.638,1995
6576.288,1996
6695.065,1997
6765.938,1998
6861.782,1999
7107.692,2000
7014.631,2001
7068.126,2002
7183.859,2003
7282.769,2004
7330.253,2005
7265.229,2006
7376.089,2007
7158.262,2008
6670.754,2009
6875.767,2010
6771.608,2011
6580.283,2012
6714.924,2013
6753.943,2014
6612.704,2015
6471.36,2016
6412.982,2017
6588.63,2018
6460.726,2019
5775.159,2020
649.93,1975
686.997,1976
701.63,1977
735.848,1978
784,1979
812.743,1980
809.348,1981
816.55,1982
774.35,1983
799.923,1984
812.797,1985
786.921,1986
831.022,1987
855.819,1988
886.174,1989
871.057,1990
874.787,1991
889.75,1992
896.539,1993
929.436,1994
929.136,1995
965.707,1996
1008.6,1997
1034.888,1998
1057.113,1999
1097.183,2000
1109.75,2001
1121.356,2002
1172.022,2003
1168.762,2004
1195.731,2005
1213.561,2006
1245.084,2007
1244.184,2008
1192.545,2009
1199.981,2010
1231.434,2011
1241.584,2012
1240.667,2013
1231.135,2014
1240.934,2015
1223.336,2016
1205.231,2017
1213.139,2018
1204.91,2019
1062.388,2020
107.624,1975
110.031,1976
113.665,1977
108.213,1978
110.263,1979
114.082,1980
114.395,1981
116.892,1982
125.163,1983
134.662,1984
144.285,1985
156.835,1986
175.619,1987
200.808,1988
213.072,1989
122.4,1990
117.227,1991
102.963,1992
94.869,1993
86.72,1994
81.261,1995
71.638,1996
65.158,1997
58.769,1998
64.1,1999
69.165,2000
71.664,2001
68.642,2002
70.138,2003
71.721,2004
74.92,2005
76.172,2006
63.478,2007
70.329,2008
53.567,2009
50.023,2010
36.186,2011
37.565,2012
27.014,2013
30.545,2014
24.621,2015
29.412,2016
21.769,2017
17.674,2018
29.379,2019
29.311,2020
9.838,1975
10.155,1976
9.875,1977
11.035,1978
12.003,1979
11.803,1980
12.845,1981
11.801,1982
12.708,1983
13.401,1984
13.67,1985
14.277,1986
13.938,1987
14.383,1988
14.339,1989
14.184,1990
10.035,1991
10.985,1992
10.124,1993
10.534,1994
10.637,1995
11.684,1996
10.578,1997
12.571,1998
11.666,1999
11.996,2000
11.926,2001
10.867,2002
11.226,2003
11.106,2004
11.179,2005
10.834,2006
9.384,2007
9.296,2008
8.592,2009
8.5,2010
9.197,2011
8.735,2012
7.771,2013
7.46,2014
7.024,2015
6.987,2016
7.504,2017
7.024,2018
7.975,2019
7.147,2020
30.612,1975
33.348,1976
33.331,1977
32.651,1978
34.659,1979
31.813,1980
31.845,1981
30.957,1982
31.998,1983
33.87,1984
32.348,1985
34.858,1986
33.281,1987
35.677,1988
34.235,1989
35.098,1990
33.54,1991
34.468,1992
36.008,1993
37.914,1994
38.522,1995
41.594,1996
41.756,1997
41.885,1998
42.646,1999
42.171,2000
43.537,2001
42.623,2002
44.012,2003
44.357,2004
43.382,2005
43.972,2006
45.714,2007
44.837,2008
43.268,2009
45.697,2010
44.817,2011
44.342,2012
44.639,2013
45.078,2014
45.616,2015
44.8,2016
44.372,2017
44.469,2018
42.865,2019
41.283,2020
199.435,1975
198.481,1976
213.266,1977
224.62,1978
226.513,1979
243.555,1980
252.122,1981
257.191,1982
247.75,1983
260.634,1984
268.324,1985
268.056,1986
285.61,1987
291.932,1988
308.604,1989
310.806,1990
314.08,1991
320.397,1992
325.284,1993
334.357,1994
342.43,1995
352.295,1996
365.059,1997
375.523,1998
384.92,1999
391.481,2000
402.803,2001
410.291,2002
419.067,2003
432.907,2004
435.364,2005
444.998,2006
450.773,2007
457.879,2008
447.03,2009
451.057,2010
451.766,2011
450.53,2012
440.883,2013
449.081,2014
453.845,2015
465.567,2016
465.857,2017
467.556,2018
471.016,2019
444.397,2020
7.251,1975
8.321,1976
8.5,1977
7.79,1978
7.716,1979
6.042,1980
6.013,1981
5.73,1982
7.526,1983
8.053,1984
8.619,1985
9.825,1986
9.402,1987
10.517,1988
9.986,1989
11.222,1990
11.595,1991
11.893,1992
13.225,1993
15.054,1994
15.719,1995
14.884,1996
15.248,1997
16.301,1998
20.557,1999
21.536,2000
20.107,2001
25.235,2002
32.028,2003
27.592,2004
29.467,2005
39.047,2006
43.97,2007
42.11,2008
40.654,2009
46.915,2010
53.476,2011
58.968,2012
61.278,2013
60.676,2014
61.856,2015
60.31,2016
65.906,2017
60.617,2018
60.757,2019
62.163,2020
23.188,1975
22.789,1976
24.32,1977
26.051,1978
28.134,1979
31.932,1980
34.233,1981
37.19,1982
40.022,1983
42.557,1984
46.814,1985
49.059,1986
52.989,1987
57.607,1988
60.317,1989
67.827,1990
67.477,1991
72.015,1992
77.176,1993
84.018,1994
83.614,1995
93.539,1996
93.788,1997
96.741,1998
99.389,1999
105.42,2000
107.126,2001
112.904,2002
117.491,2003
129.96,2004
134.757,2005
143.726,2006
155.846,2007
155.356,2008
155.221,2009
154.145,2010
154.66,2011
153.876,2012
150.451,2013
156.243,2014
169.252,2015
207.019,2016
233.978,2017
238.306,2018
234.289,2019
234.755,2020
0.194,1975
0.114,1976
0.183,1977
0.11,1978
0.125,1979
0.158,1980
0.158,1981
0.158,1982
0.158,1983
0.158,1984
0.161,1985
0.161,1986
0.161,1987
0.183,1988
0.227,1989
0.234,1990
0.234,1991
0.198,1992
0.198,1993
0.198,1994
0.198,1995
0.198,1996
0.198,1997
0.198,1998
0.198,1999
0.209,2000
0.216,2001
0.213,2002
0.213,2003
0.216,2004
0.22,2005
0.227,2006
0.253,2007
0.205,2008
0.198,2009
0.209,2010
0.216,2011
0.224,2012
0.227,2013
0.22,2014
0.205,2015
0.213,2016
0.216,2017
0.213,2018
0.219,2019
0.219,2020
0.861,1990
0.883,1991
0.916,1992
0.934,1993
0.967,1994
0.945,1995
1.037,1996
0.865,1997
1.462,1998
1.367,1999
1.66,2000
1.348,2001
1.154,2002
1.279,2003
2.195,2004
2.741,2005
2.264,2006
2.323,2007
2.052,2008
2.088,2009
2.034,2010
2.246,2011
2.198,2012
2.437,2013
2.836,2014
3.004,2015
3.232,2016
3.268,2017
2.957,2018
2.986,2019
2.899,2020
3.659,1975
3.607,1976
3.455,1977
2.835,1978
3.181,1979
3.108,1980
3.323,1981
3.279,1982
3.48,1983
2.867,1984
2.727,1985
2.735,1986
3.18,1987
2.915,1988
2.51,1989
2.632,1990
3.104,1991
4.112,1992
3.785,1993
4.177,1994
3.653,1995
4.447,1996
4.63,1997
5.901,1998
5.622,1999
5.728,2000
6.953,2001
5.821,2002
6.09,2003
5.711,2004
6.971,2005
7.524,2006
7.35,2007
7.335,2008
8.461,2009
9.072,2010
9.953,2011
9.768,2012
10.513,2013
10.855,2014
10.878,2015
10.555,2016
11.212,2017
10.731,2018
12.294,2019
10.78,2020
1.114,1975
1.019,1976
1.132,1977
1.088,1978
1.026,1979
0,1980
0,1981
0,1982
0,1983
0,1984
0,1985
0,1986
0,1987
0,1988
0,1989
0,1990
0,1991
0,1992
0,1993
0,1994
0,1995
0,1996
0,1997
0,1998
0,1999
0,2000
0,2001
0,2002
0,2003
0,2004
0,2005
0,2006
0,2007
0,2008
0,2009
0,2010
0,2011
0,2012
0,2013
0,2014
0,2015
0,2016
0,2017
0,2018
0,2019
0,2020
1.532,1975
1.572,1976
1.579,1977
1.674,1978
1.795,1979
1.828,1980
1.931,1981
1.946,1982
2.008,1983
2.045,1984
2.125,1985
2.063,1986
2.334,1987
2.198,1988
2.034,1989
2.154,1990
2.169,1991
2.191,1992
2.191,1993
2.18,1994
2.059,1995
2.187,1996
2.576,1997
2.862,1998
2.444,1999
2.664,2000
3.206,2001
3.484,2002
3.942,2003
4.485,2004
4.382,2005
4.305,2006
6.115,2007
4.793,2008
5.089,2009
4.661,2010
5.225,2011
4.976,2012
5.331,2013
6.049,2014
6.364,2015
6.636,2016
6.375,2017
6.408,2018
6.618,2019
6.652,2020
0.836,1975
1.03,1976
1.153,1977
1.454,1978
1.325,1979
1.485,1980
1.383,1981
1.362,1982
1.408,1983
1.49,1984
1.548,1985
1.655,1986
1.877,1987
2.144,1988
2.223,1989
2.136,1990
2.103,1991
2.58,1992
2.914,1993
3.404,1994
3.937,1995
3.719,1996
4.128,1997
4.384,1998
4.376,1999
3.606,2000
3.696,2001
3.857,2002
4.031,2003
4.061,2004
3.78,2005
3.909,2006
4.042,2007
4.278,2008
4.532,2009
5.022,2010
5.199,2011
5.173,2012
5.172,2013
5.458,2014
6.051,2015
7.183,2016
8.073,2017
8.509,2018
8.525,2019
7.57,2020
21.927,1975
22.4,1976
23.296,1977
22.413,1978
22.217,1979
24.065,1980
24.027,1981
23.6,1982
20.393,1983
20.632,1984
19.455,1985
21.775,1986
25.694,1987
25.018,1988
21.762,1989
21.401,1990
20.758,1991
20.986,1992
23.885,1993
23.759,1994
24.669,1995
24.224,1996
27.285,1997
27.609,1998
29.174,1999
30.104,2000
26.981,2001
27.01,2002
26.21,2003
31.708,2004
36.934,2005
28.432,2006
34.669,2007
40.81,2008
51.318,2009
57.173,2010
48.924,2011
54.041,2012
43.063,2013
49.434,2014
49.067,2015
52.72,2016
53.722,2017
54.649,2018
54.978,2019
44.706,2020
32.482,1975
35.066,1976
36.676,1977
37.38,1978
38.031,1979
36.869,1980
34.528,1981
34.839,1982
35.239,1983
30.831,1984
27.899,1985
29.025,1986
32.496,1987
37.485,1988
38.907,1989
41.35,1990
43.472,1991
48.293,1992
48.929,1993
54.122,1994
59.95,1995
61.255,1996
70.062,1997
68.253,1998
68.176,1999
72.348,2000
70.304,2001
70.156,2002
70.215,2003
72.771,2004
73.272,2005
66.524,2006
70.763,2007
77.301,2008
76.492,2009
82.953,2010
83.743,2011
88.408,2012
95.794,2013
101.184,2014
112.142,2015
122.237,2016
134.902,2017
140.658,2018
146.615,2019
136.018,2020
374.78,1975
398.119,1976
417.955,1977
430.87,1978
441.309,1979
463.329,1980
408.997,1981
420.97,1982
421.024,1983
432.467,1984
444.508,1985
451.849,1986
463.733,1987
444.23,1988
422.175,1989
376.808,1990
373.828,1991
364.741,1992
365.442,1993
360.511,1994
362.877,1995
377.563,1996
367.508,1997
339.346,1998
329.536,1999
317.692,2000
313.823,2001
306.584,2002
319.598,2003
324.413,2004
323.385,2005
337.29,2006
336.706,2007
330.454,2008
316.84,2009
334.888,2010
334.306,2011
326.702,2012
322.614,2013
310.28,2014
313.419,2015
324.342,2016
337.683,2017
336.992,2018
319.521,2019
299.593,2020
21.275,1975
22.326,1976
22.605,1977
22.585,1978
24.856,1979
26.773,1980
27,1981
29,1982
29.902,1983
28.794,1984
27.13,1985
30.221,1986
31.198,1987
32.568,1988
40.822,1989
45.334,1990
47.152,1991
50.982,1992
49.496,1993
50.277,1994
54.543,1995
51.838,1996
54.711,1997
59.268,1998
66.906,1999
65.698,2000
65.264,2001
69.749,2002
64.654,2003
67.495,2004
69.713,2005
64.927,2006
62.447,2007
60.123,2008
57.224,2009
53.017,2010
51.815,2011
49.979,2012
48.182,2013
47.962,2014
52.29,2015
50.458,2016
55.231,2017
51.492,2018
47.629,2019
40.388,2020
0,1975
0,1976
0,1977
0,1978
0,1979
0,1980
0,1981
0,1982
0,1983
0,1984
0,1985
0,1986
0,1987
0,1988
0,1989
0,1990
0,1991
0,1992
0,1993
0,1994
0,1995
0,1996
0,1997
0,1998
0,1999
0,2000
0,2001
0,2002
0,2003
0,2004
0,2005
0,2006
0,2007
0,2008
0,2009
0,2010
0,2011
0,2012
0,2013
0,2014
0,2015
0,2016
0,2017
0,2018
0,2019
0,2020
10.947,1975
10.375,1976
9.916,1977
10.519,1978
14.342,1979
13.082,1980
12.841,1981
12.335,1982
11.243,1983
12.298,1984
12.378,1985
13.267,1986
11.471,1987
11.898,1988
14.292,1989
11.411,1990
17.38,1991
26.78,1992
30.684,1993
30.304,1994
31.298,1995
31.668,1996
36.789,1997
31.722,1998
30.756,1999
34.012,2000
41.214,2001
40.703,2002
41.3,2003
42.711,2004
50.69,2005
63.197,2006
62.901,2007
64.257,2008
68.597,2009
71.92,2010
79.648,2011
92.304,2012
82.697,2013
90.419,2014
90.137,2015
88.907,2016
99.757,2017
106.927,2018
115.037,2019
106.655,2020
0.484,1975
0.63,1976
0.649,1977
0.718,1978
0.916,1979
0.813,1980
0.784,1981
0.865,1982
0.901,1983
0.997,1984
0.993,1985
1.077,1986
1.172,1987
1.345,1988
1.389,1989
1.242,1990
1.635,1991
1.771,1992
1.768,1993
1.864,1994
2.064,1995
2.276,1996
2.565,1997
2.644,1998
2.905,1999
3.183,2000
3.311,2001
3.334,2002
3.145,2003
3.269,2004
3.693,2005
3.917,2006
4.109,2007
4.276,2008
4.347,2009
4.486,2010
4.499,2011
4.45,2012
4.361,2013
4.354,2014
4.424,2015
4.525,2016
4.441,2017
4.401,2018
4.588,2019
4.588,2020
162.006,1975
174.472,1976
178.077,1977
193.539,1978
195.676,1979
196.199,1980
197.73,1981
195.329,1982
200.116,1983
188.817,1984
193.907,1985
201.641,1986
211.632,1987
212.222,1988
213.599,1989
170.88,1990
140.204,1991
130.235,1992
121.018,1993
119.142,1994
124.257,1995
127.572,1996
116.667,1997
104.073,1998
88.098,1999
92.364,2000
97.849,2001
98.05,2002
102.509,2003
101.765,2004
100.259,2005
103.193,2006
101.36,2007
98.58,2008
81.554,2009
77.943,2010
86.047,2011
83.882,2012
74.75,2013
75.594,2014
76.362,2015
74.152,2016
77.203,2017
77.609,2018
74.846,2019
71.475,2020
1825.755,1975
1896.073,1976
1960.565,1977
2027.894,1978
2044.713,1979
2125.165,1980
2084.698,1981
2124.002,1982
2154.129,1983
2173.259,1984
2343.796,1985
2344.124,1986
2355.475,1987
2430.947,1988
2400.308,1989
2525.518,1990
2396.205,1991
1957.886,1992
1859.679,1993
1641.616,1994
1613.141,1995
1580.376,1996
1475.36,1997
1458.368,1998
1486.301,1999
1471.259,2000
1507.707,2001
1495.694,2002
1525.607,2003
1530.694,2004
1547.599,2005
1606.542,2006
1604.549,2007
1636.923,2008
1528.961,2009
1613.113,2010
1665.207,2011
1680.104,2012
1619.42,2013
1622.589,2014
1623.1,2015
1618.599,2016
1646.457,2017
1691.647,2018
1679.449,2019
1577.136,2020
0.176,1975
0.267,1976
0.267,1977
0.289,1978
0.297,1979
0.495,1980
0.601,1981
0.608,1982
0.696,1983
0.634,1984
0.616,1985
0.597,1986
0.611,1987
0.692,1988
0.684,1989
0.524,1990
0.472,1991
0.479,1992
0.483,1993
0.462,1994
0.455,1995
0.464,1996
0.483,1997
0.482,1998
0.503,1999
0.515,2000
0.522,2001
0.519,2002
0.509,2003
0.516,2004
0.514,2005
0.514,2006
0.542,2007
0.528,2008
0.558,2009
0.573,2010
0.647,2011
0.718,2012
0.782,2013
0.827,2014
0.919,2015
1.036,2016
1.05,2017
1.142,2018
1.187,2019
1.033,2020
0,1975
0,1976
0,1977
0,1978
0,1979
0,1980
0,1981
0,1982
0,1983
0,1984
0,1985
0,1986
0,1987
0,1988
0,1989
0,1990
0,1991
0,1992
0,1993
0,1994
0,1995
0,1996
0,1997
0,1998
0,1999
0,2000
0,2001
0,2002
0,2003
0,2004
0,2005
0,2006
0,2007
0,2008
0,2009
0,2010
0,2011
0,2012
0,2013
0,2014
0,2015
0,2016
0,2017
0,2018
0,2019
0,2020
0,1975
0,1976
0,1977
0,1978
0,1979
0,1980
0.007,1981
0.004,1982
0.004,1983
0.004,1984
0.004,1985
0.004,1986
0.004,1987
0.007,1988
0.007,1989
0.007,1990
0.007,1991
0.007,1992
0.011,1993
0.011,1994
0.011,1995
0.011,1996
0.011,1997
0.011,1998
0.011,1999
0.011,2000
0.011,2001
0.011,2002
0.011,2003
0.011,2004
0.011,2005
0.011,2006
0.011,2007
0.011,2008
0.011,2009
0.011,2010
0.011,2011
0.011,2012
0.011,2013
0.011,2014
0.011,2015
0.015,2016
0.011,2017
0.011,2018
0.011,2019
0.009,2020
0.055,1981
0.066,1982
0.051,1983
0.051,1984
0.051,1985
0.059,1986
0.055,1987
0.066,1988
0.066,1989
0.106,1990
0.106,1991
0.11,1992
0.114,1993
0.121,1994
0.128,1995
0.132,1996
0.143,1997
0.15,1998
0.161,1999
0.172,2000
0.176,2001
0.198,2002
0.198,2003
0.213,2004
0.198,2005
0.202,2006
0.216,2007
0.216,2008
0.224,2009
0.22,2010
0.231,2011
0.22,2012
0.224,2013
0.231,2014
0.234,2015
0.238,2016
0.242,2017
0.245,2018
0.24,2019
0.212,2020
0.077,1975
0.084,1976
0.07,1977
0.099,1978
0.15,1979
0.114,1980
0.095,1981
0.114,1982
0.103,1983
0.114,1984
0.128,1985
0.132,1986
0.147,1987
0.165,1988
0.165,1989
0.18,1990
0.187,1991
0.213,1992
0.234,1993
0.26,1994
0.275,1995
0.293,1996
0.293,1997
0.322,1998
0.333,1999
0.348,2000
0.359,2001
0.359,2002
0.377,2003
0.403,2004
0.388,2005
0.41,2006
0.425,2007
0.425,2008
0.425,2009
0.487,2010
0.487,2011
0.491,2012
0.487,2013
0.484,2014
0.48,2015
0.487,2016
0.506,2017
0.509,2018
0.497,2019
0.44,2020
0.033,1975
0.048,1976
0.037,1977
0.033,1978
0.037,1979
0.037,1980
0.04,1981
0.04,1982
0.033,1983
0.037,1984
0.033,1985
0.048,1986
0.051,1987
0.066,1988
0.103,1989
0.092,1990
0.103,1991
0.095,1992
0.073,1993
0.07,1994
0.07,1995
0.07,1996
0.048,1997
0.055,1998
0.055,1999
0.055,2000
0.055,2001
0.059,2002
0.062,2003
0.059,2004
0.062,2005
0.066,2006
0.066,2007
0.066,2008
0.066,2009
0.066,2010
0.066,2011
0.066,2012
0.066,2013
0.066,2014
0.066,2015
0.066,2016
0.066,2017
0.059,2018
0.057,2019
0.051,2020
0.033,1975
0.033,1976
0.033,1977
0.037,1978
0.029,1979
0.037,1980
0.037,1981
0.04,1982
0.048,1983
0.066,1984
0.066,1985
0.066,1986
0.077,1987
0.066,1988
0.077,1989
0.081,1990
0.084,1991
0.084,1992
0.103,1993
0.121,1994
0.128,1995
0.132,1996
0.132,1997
0.161,1998
0.165,1999
0.147,2000
0.18,2001
0.187,2002
0.198,2003
0.22,2004
0.22,2005
0.216,2006
0.234,2007
0.22,2008
0.278,2009
0.22,2010
0.216,2011
0.231,2012
0.22,2013
0.253,2014
0.234,2015
0.242,2016
0.216,2017
0.242,2018
0.236,2019
0.209,2020
0.059,1975
0.044,1976
0.073,1977
0.099,1978
0.084,1979
0.077,1980
0.077,1981
0.066,1982
0.066,1983
0.066,1984
0.077,1985
0.081,1986
0.081,1987
0.084,1988
0.084,1989
0.088,1990
0.095,1991
0.099,1992
0.103,1993
0.095,1994
0.114,1995
0.125,1996
0.125,1997
0.143,1998
0.136,1999
0.143,2000
0.154,2001
0.161,2002
0.158,2003
0.165,2004
0.169,2005
0.172,2006
0.18,2007
0.161,2008
0.169,2009
0.183,2010
0.191,2011
0.187,2012
0.194,2013
0.202,2014
0.227,2015
0.238,2016
0.245,2017
0.238,2018
0.245,2019
0.246,2020
0.018,1975
0.029,1976
0.029,1977
0.033,1978
0.033,1979
0.04,1980
0.044,1981
0.048,1982
0.055,1983
0.051,1984
0.055,1985
0.051,1986
0.051,1987
0.048,1988
0.048,1989
0.048,1990
0.048,1991
0.048,1992
0.048,1993
0.048,1994
0.048,1995
0.048,1996
0.048,1997
0.048,1998
0.048,1999
0.048,2000
0.051,2001
0.059,2002
0.066,2003
0.073,2004
0.077,2005
0.084,2006
0.084,2007
0.084,2008
0.092,2009
0.099,2010
0.099,2011
0.117,2012
0.121,2013
0.117,2014
0.121,2015
0.125,2016
0.128,2017
0.132,2018
0.126,2019
0.113,2020
83.261,1975
101.46,1976
118.07,1977
115.025,1978
138.005,1979
169.24,1980
175.305,1981
157.893,1982
160.837,1983
155.512,1984
172.421,1985
204.604,1986
190.447,1987
202.252,1988
203.424,1989
208.497,1990
288.545,1991
316.175,1992
340.642,1993
328.139,1994
262.421,1995
258.275,1996
215.807,1997
207.24,1998
225.986,1999
296.364,2000
296.588,2001
325.698,2002
326.517,2003
394.585,2004
395.855,2005
431.292,2006
386.507,2007
432.336,2008
465.844,2009
517.716,2010
497.659,2011
563.179,2012
540.805,2013
609.206,2014
674.878,2015
639.056,2016
639.378,2017
621.953,2018
622.413,2019
625.508,2020
2.578,1975
1.77,1976
2.237,1977
2.62,1978
2.888,1979
3.336,1980
3.28,1981
3.037,1982
2.611,1983
3.284,1984
2.651,1985
2.636,1986
2.425,1987
2.711,1988
3.662,1989
3.139,1990
3.379,1991
3.423,1992
3.539,1993
3.837,1994
3.43,1995
3.664,1996
3.182,1997
3.334,1998
3.604,1999
3.902,2000
4.258,2001
4.437,2002
4.928,2003
5.238,2004
5.539,2005
4.422,2006
4.863,2007
4.74,2008
5.258,2009
6.862,2010
7.819,2011
7.362,2012
7.853,2013
8.724,2014
9.845,2015
10.016,2016
10.746,2017
11.33,2018
11.266,2019
10.451,2020
37.697,1975
38.822,1976
37.613,1977
42.023,1978
45.762,1979
44.923,1980
49.165,1981
44.978,1982
48.647,1983
51.492,1984
52.622,1985
54.994,1986
53.689,1987
55.46,1988
55.355,1989
56.448,1990
38.616,1991
42.818,1992
37.623,1993
36.326,1994
38.374,1995
44.81,1996
48.323,1997
50.808,1998
35.027,1999
44.95,2000
48.099,2001
51.019,2002
54.764,2003
59.01,2004
51.634,2005
60.838,2006
59.554,2007
51.778,2008
45.895,2009
45.696,2010
48.957,2011
43.724,2012
44.546,2013
37.189,2014
43.746,2015
45.034,2016
45.526,2017
44.261,2018
49.338,2019
43.135,2020
0.059,1975
0.081,1976
0.084,1977
0.077,1978
0.121,1979
0.095,1980
0.099,1981
0.084,1982
0.099,1983
0.099,1984
0.15,1985
0.165,1986
0.202,1987
0.198,1988
0.234,1989
0.15,1990
0.172,1991
0.172,1992
0.183,1993
0.202,1994
0.198,1995
0.234,1996
0.275,1997
0.289,1998
0.304,1999
0.315,2000
0.344,2001
0.348,2002
0.341,2003
0.37,2004
0.381,2005
0.385,2006
0.403,2007
0.414,2008
0.44,2009
0.443,2010
0.407,2011
0.425,2012
0.414,2013
0.462,2014
0.48,2015
0.535,2016
0.557,2017
0.557,2018
0.581,2019
0.491,2020
0.524,1975
0.451,1976
0.513,1977
0.711,1978
0.678,1979
0.608,1980
0.692,1981
0.553,1982
0.689,1983
0.616,1984
0.663,1985
0.674,1986
0.498,1987
0.458,1988
0.374,1989
0.517,1990
0.583,1991
0.319,1992
0.322,1993
0.348,1994
0.231,1995
0.308,1996
0.224,1997
0.242,1998
0.194,1999
0.33,2000
0.432,2001
0.502,2002
0.535,2003
0.52,2004
0.425,2005
0.579,2006
0.487,2007
0.506,2008
0.502,2009
0.542,2010
0.711,2011
0.832,2012
1.008,2013
1.11,2014
0.876,2015
0.905,2016
0.912,2017
0.953,2018
0.961,2019
0.877,2020
23.864,1975
29.338,1976
27.612,1977
32.463,1978
35.42,1979
30.433,1980
25.707,1981
28.382,1982
33.397,1983
31.969,1984
32.397,1985
34.101,1986
31.811,1987
35.281,1988
41.004,1989
43.536,1990
44.235,1991
47.441,1992
49.662,1993
60.086,1994
40.546,1995
48.013,1996
56.737,1997
47.412,1998
